127.0.0.1 - - [25/Apr/2024:00:13:11 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:31 +0700] "GET /MVC/ HTTP/1.1" 200 43607
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:39 +0700] "GET /MVC/ HTTP/1.1" 200 43607
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:39 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:42 +0700] "GET /MVC/login HTTP/1.1" 200 30023
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:44 +0700] "POST /MVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:44 +0700] "GET /MVC/ HTTP/1.1" 200 43605
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:46 +0700] "GET /MVC/vocab-lists HTTP/1.1" 200 26368
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/vocab-lists/vocab?listID=104 HTTP/1.1" 200 126607
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/04_candidate-election_01d502ca-0365-4bad-806d-84dfc73ce57f.jpg HTTP/1.1" 200 23940
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/11_iconic-canada-printing-tri-fold-mockup2048x2048-157346198382155702592.webp HTTP/1.1" 200 24229
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/images_cafeteria-la-gi-6.jpg HTTP/1.1" 200 33571
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/xe-dap-1-1_8c952ba9-530c-41d7-bbeb-385dbf1afca1.jpg HTTP/1.1" 200 97042
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/02_callerid-768x512_28dc9bd0-8c49-4441-9a5b-e872b42f0f38.webp HTTP/1.1" 200 12196
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/MEDIA_1748ed09-eb29-411e-9d59-7d18338bb072.webp HTTP/1.1" 200 34828
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/01_shutterstock_758602234-min-1038x778%20(1).jpg HTTP/1.1" 200 54238
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/09_Before-You-Become-A-Flight-Attendant-1024x538%20(1).webp HTTP/1.1" 200 76684
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/z5375641095319_b0ce4bde9e7730c6331ce1b3076104d3.jpg HTTP/1.1" 200 100574
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:13:47 +0700] "GET /MVC/data/02_Accounting.jpg.webp HTTP/1.1" 200 32323
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:09 +0700] "GET /MVC/vocab-lists/vocab/review?action=learn&listID=104 HTTP/1.1" 200 31316
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:09 +0700] "GET /MVC/data/11_iconic-canada-printing-tri-fold-mockup2048x2048-157346198382155702592.webp HTTP/1.1" 200 24229
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:09 +0700] "GET /MVC/data/z5375641095319_b0ce4bde9e7730c6331ce1b3076104d3.jpg HTTP/1.1" 200 100574
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:11 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:22 +0700] "GET /MVC/vocab-lists/vocab/review?action=learned&listID=104 HTTP/1.1" 200 47774
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:22 +0700] "GET /MVC/data/02_Accounting.jpg.webp HTTP/1.1" 200 32323
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:22 +0700] "GET /MVC/data/09_Before-You-Become-A-Flight-Attendant-1024x538%20(1).webp HTTP/1.1" 200 76684
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:22 +0700] "GET /MVC/data/02_callerid-768x512_28dc9bd0-8c49-4441-9a5b-e872b42f0f38.webp HTTP/1.1" 200 12196
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:22 +0700] "GET /MVC/data/01_shutterstock_758602234-min-1038x778%20(1).jpg HTTP/1.1" 200 54238
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:22 +0700] "GET /MVC/data/images_cafeteria-la-gi-6.jpg HTTP/1.1" 200 33571
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:22 +0700] "GET /MVC/data/xe-dap-1-1_8c952ba9-530c-41d7-bbeb-385dbf1afca1.jpg HTTP/1.1" 200 97042
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:22 +0700] "GET /MVC/data/MEDIA_1748ed09-eb29-411e-9d59-7d18338bb072.webp HTTP/1.1" 200 34828
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:22 +0700] "GET /MVC/data/04_candidate-election_01d502ca-0365-4bad-806d-84dfc73ce57f.jpg HTTP/1.1" 200 23940
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:18:23 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:04 +0700] "GET /MVC/ HTTP/1.1" 200 43607
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:06 +0700] "GET /MVC/login HTTP/1.1" 200 30023
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:06 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:08 +0700] "POST /MVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:08 +0700] "GET /MVC/teacher HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:08 +0700] "GET /MVC/data/jpeg-3.jpg HTTP/1.1" 500 1791
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:12 +0700] "GET /MVC/teacher/tests HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:21:13 +0700] "GET /MVC/teacher/question?testsID=1 HTTP/1.1" 200 45250
